"freq","issuerLabel"
"2","""naijashow.com"""
"2","""SAK-Trust-CA"""
"2","""airgaps..uy4gsv"""
"2","""TeleSec Business CA 1"""
"2","""United Nations CA"""
"2","""Richemont-International-SA-IssuingCA1"""
"2","""portaltest1"""
"2","""Universitaet Potsdam CA - G01"""
"2","""perfectpays.perfectb2c.com"""
"2","""Global-Uni-Ulm-CA"""
"2","""k2vsoftware.com"""
"2","""Visa eCommerce Issuing CA"""
"2","""DigiCert Global CA G3"""
"2","""global-GLOBALFRESERVER-CA"""
"2","""itsimple.jsd-gc.com"""
"2","""HydrantID EV SSL ICA G1"""
"2","""Deutscher Bundestag CA - G01"""
"2","""Nestle External CA"""
"2","""Autoridad de Certificacion de CLVSA"""
"2","""Starfield Secure Certification Authority"""
"2","""OsceEdgeRoot"""
"2","""parallels.com"""
"1","""FPS-SERVICES-CA"""
"1","""HS Bochum CA - G01"""
"1","""IT0CERTAD"""
"1","""yinedo.com"""
"1","""server2.rank-hosting.de"""
"1","""ntwdcainternal.cloudapp.net"""
"1","""evm-papp01-dmn.local.domain"""
"1","""sharenergy.default.jhalle.uk0.bigv.io"""
"1","""indotoursguide.com"""
"1","""SunLife Enterprise Certificate Authority"""
"1","""correo.inifom.gob.ni"""
"1","""www.mvk-stralsund.de"""
"1","""oberoigroup-CORPSRVCOMPMGR-CA"""
"1","""nabludatel.online"""
"1","""americanbulldogradio.com"""
"1","""test-ca"""
"1","""mobility.fsbbank.net"""
"1","""rpxy2.nzpost.co.nz ca"""
"1","""IFD-ROOT-CA"""
"1","""hosting.unisel.edu.my"""
"1","""kutahyam.saglikbiz.com"""
"1","""*.attocapital.com"""
"1","""DxNSUSRSRVSEG1.mhi.co.jp"""
"1","""azarnovin.edtdns.net"""
"1","""Universitaet Jena CA - G01"""
"1","""WMSvc-INSTANCE-DI8OPG"""
"1","""Santander Group Issuer CA ES"""
"1","""FIT-CA"""
"1","""StartCom Class 3 Primary Intermediate Server CA"""
"1","""vps308909.ovh.net"""
"1","""crabe.etsmtl.ca"""
"1","""mail.bbs.ro"""
"1","""v3test.mfrb.fr"""
"1","""mail.oakdalerec.com"""
"1","""IntermediateCA_MDM.SPANSET.DE_1"""
"1","""Apple Corporate Server CA 1"""
"1","""vps-Ubuntu16-LTS"""
"1","""*.lucraredelicenta.com"""
"1","""Groupe France Telecom Internal CA 1-2"""
"1","""PT AIRFAST Indonesia SR-CA"""
"1","""ip-172-31-18-62.us-west-2.compute.internal"""
"1","""et-template-jessie.neusta-is.de"""
"1","""*.badssl.com"""
"1","""5thstarair.com.au"""
"1","""ZZZ-W2012-TEST"""
"1","""socadis-SAD1SOCADIS-CA"""
"1","""manifestationqueen.com"""
"1","""Samsung Hubsite CA"""
"1","""HAMGUJCA-003"""
"1","""pinnacleresortspv.com"""
"1","""lindashelp.gwrnetwork.com"""
"1","""solyamilvocalcoach.com"""
"1","""CFCA OV OCA"""
"1","""INFRAESTRUCTURA"""
"1","""bjartron-BJ-SERVER1-CA"""
"1","""Universitaet Bonn CA"""
"1","""162-144-110-142.hostgator.com"""
"1","""192.168.178.10"""
"1","""smalleysgentsoutfitters.co.uk"""
"1","""sayasini.com"""
"1","""Sussex Root CA"""
"1","""BCP Enterprise Certification Authority"""
"1","""Computec-Enterprise-CA"""
"1","""SASJSSDP2.sas.edu.sg"""
"1","""yes24 Root CA"""
"1","""TH Wildau CA"""
"1","""pauledd"""
"1","""Lobo Certificate Authority"""
"1","""web.mfec.co.th"""
"1","""CDITDMN-CDITSERVER-CA"""
"1","""flyinggreenfrog.selfhost.eu"""
"1","""ca1.ecsystems.nl"""
"1","""itanetbandalarga.com.br"""
"1","""nexjet.m030c137.u027jp6985.info"""
"1","""DCRSHRTFS02D.dcrbdev.dcrb.local"""
"1","""TAM_octo"""
"1","""ESPRIT Netzwerk AG SSL CA 2"""
"1","""www.polycom.com"""
"1","""dollarinvestmentclub.com"""
"1","""cabvs039.nine.ch"""
