,items,support,count,,,,
17651,"{SSL2Enabled=0,hpkpPolicy.status=\absent\""",keySize=2048,"sigAlg=\""SHA256withRSA\""}""",0.807772597,59591,,
17643,"{SSL2Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.806986391,59533,
17650,"{SSL2Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""",keySize=2048,"sigAlg=\""SHA256withRSA\""}""",0.806986391,59533,,
17547,"{supportsRc4=false,poodle=false}",0.806918614,59528,,,,
17483,"{SSL3Enabled=0,supportsRc4=false,poodle=false}",0.806891504,59526,,,,
17546,"{SSL3Enabled=0,supportsRc4=false}",0.806891504,59526,,,,
17478,"{SSL2Enabled=0,supportsRc4=false,poodle=false}",0.806674619,59510,,,,
17447,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,poodle=false}",0.806647509,59508,,,,
17510,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false}",0.806647509,59508,,,,
17479,"{supportsRc4=false,heartbleed=false,poodle=false}",0.80601041,59461,,,,
17448,"{SSL3Enabled=0,supportsRc4=false,heartbleed=false,poodle=false}",0.8059833,59459,,,,
17511,"{SSL3Enabled=0,supportsRc4=false,heartbleed=false}",0.8059833,59459,,,,
17477,"{SSL2Enabled=0,supportsRc4=false,heartbleed=false,poodle=false}",0.805766415,59443,,,,
17446,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,heartbleed=false,poodle=false}",0.805739305,59441,,,,
17509,"{SSL2Enabled=0,SSL3Enabled=0,supportsRc4=false,heartbleed=false}",0.805739305,59441,,,,
17543,"{supportsRc4=false,hpkpPolicy.status=\absent\""}""",0.797036816,58799,,,,
17539,"{supportsRc4=false,heartbleed=false,hpkpPolicy.status=\absent\""}""",0.796521716,58761,,,,
17538,"{SSL2Enabled=0,supportsRc4=false,hpkpPolicy.status=\absent\""}""",0.796033726,58725,,,,
17537,"{SSL2Enabled=0,supportsRc4=false,heartbleed=false,hpkpPolicy.status=\absent\""}""",0.795545736,58689,,,,
17609,"{poodle=false,keySize=2048,keyAlg=\RSA\""}""",0.784701513,57889,,,,
17675,"{poodle=false,keySize=2048}",0.784701513,57889,,,,
17545,"{supportsRc4=false,sigAlg=\SHA256withRSA\""}""",0.784606626,57882,,,,
17526,"{SSL2Enabled=0,supportsRc4=false,sigAlg=\SHA256withRSA\""}""",0.783725533,57817,,,,
17544,"{supportsRc4=false,keyAlg=\RSA\""}""",0.783644201,57811,,,,
17527,"{supportsRc4=false,heartbleed=false,sigAlg=\SHA256withRSA\""}""",0.783562869,57805,,,,
17600,"{heartbleed=false,poodle=false,keySize=2048,keyAlg=\RSA\""}""",0.783549314,57804,,,,
17607,"{heartbleed=false,poodle=false,keySize=2048}",0.783549314,57804,,,,
17525,"{SSL2Enabled=0,supportsRc4=false,heartbleed=false,sigAlg=\SHA256withRSA\""}""",0.782708887,57742,,,,
17534,"{SSL2Enabled=0,supportsRc4=false,keyAlg=\RSA\""}""",0.782627555,57736,,,,
17535,"{supportsRc4=false,heartbleed=false,keyAlg=\RSA\""}""",0.782573334,57732,,,,
17533,"{SSL2Enabled=0,supportsRc4=false,heartbleed=false,keyAlg=\RSA\""}""",0.781583799,57659,,,,
17480,"{supportsRc4=false,poodle=false,hpkpPolicy.status=\absent\""}""",0.780797593,57601,,,,
